CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR
59,HP50SE 38,"Unst, Vinstrick","Findspot (20th Century), Unidentified Object(S) (Norse)",457128,1203962,SHETLAND ISLANDS,SHETLAND,UNST,HP 57128 03962
67,HP50SE 9,"Unst, Loch Of Bordastubble",Standing Stone (Prehistoric),457870,1203340,SHETLAND ISLANDS,SHETLAND,UNST,HP 5787 0334
84,HP51SE 1,"Unst, Flubersgerdie","Broch (Iron Age)(Possible), House Platform(S) (Period Unassigned), Planticrub (Period Unassigned), Promontory Fort (Period Unassigned)",457119,1212493,SHETLAND ISLANDS,SHETLAND,UNST,HP 57119 12493
103,HP60NW 4,"Unst, Baliasta",Cairn (Period Unassigned),460250,1209600,SHETLAND ISLANDS,SHETLAND,UNST,HP 6025 0960
105,HP60NW 6,"Unst, Clugan","Grave (Viking), Settlement (Period Unassigned), Implement (Stone)(Iron Age), Slag (Iron Age), Unidentified Pottery (Iron Age)",464400,1206460,SHETLAND ISLANDS,SHETLAND,UNST,HP 6440 0646
108,HP60NW 9,"Unst, Balta Sound, St John's Kirk",Church (Period Unassigned),461464,1208839,SHETLAND ISLANDS,SHETLAND,UNST,HP 61464 08839
115,HP60SW 15,"Unst, Hoversta","Clearance Cairn(S) (Period Unassigned), Farmstead (Period Unassigned), Farmstead (Norse)(Possible), Quarry (Period Unassigned), Unidentified Pottery (Iron Age)",460057,1201757,SHETLAND ISLANDS,SHETLAND,UNST,HP 60057 01757
128,HP60SW 27,"Unst, Brough Taing",Promontory Fort (Period Unassigned)(Possible),463300,1204900,SHETLAND ISLANDS,SHETLAND,UNST,HP 633 049
142,HP61NE 1,"Unst, Skaw","Structure (Period Unassigned), Unidentified Pottery (Iron Age)",466000,1216550,SHETLAND ISLANDS,SHETLAND,UNST,HP 6600 1655
148,HP61NW 4,"Unst, Ura Geo",Fort (Period Unassigned)(Possible),463330,1217750,SHETLAND ISLANDS,SHETLAND,UNST,HP 6333 1775
149,HP61NW 5,"Unst, Muckle Flugga, North Unst Lighthouse",Lighthouse (19th Century),460666,1219679,SHETLAND ISLANDS,SHETLAND,UNST,HP 60666 19679
151,HP61SE 2,"Unst, Cross Ness","Midden (Period Unassigned), Structure (Period Unassigned)",465130,1212100,SHETLAND ISLANDS,SHETLAND,UNST,HP 6513 1210
155,HP61SE 6,"Unst, Cross Geos, Clibberswick","Building (Norse), Midden (Iron Age), Steatite Quarry (Norse)",465140,1212150,SHETLAND ISLANDS,SHETLAND,UNST,HP 6514 1215
161,HP61SW 13,"Unst, Valsgarth",Cairn (Period Unassigned)(Possible),464000,1213000,SHETLAND ISLANDS,SHETLAND,UNST,HP 64 13
162,HP61SW 14,"Unst, Towrie",Mound (Period Unassigned),464800,1212700,SHETLAND ISLANDS,SHETLAND,UNST,HP 648 127
163,HP61SW 15,"Unst, Haroldswick","Burnt Mound(S) (Prehistoric)(Possible), Cairn(S) (Period Unassigned)",463700,1212600,SHETLAND ISLANDS,SHETLAND,UNST,HP 637 126
166,HP61SW 18,"Unst, Norwick, Fustrie's Knowe",Cinerary Urn(S),464700,1214700,SHETLAND ISLANDS,SHETLAND,UNST,HP 647 147
167,HP61SW 19,"Unst, Harold's Grave",Grave (Viking)(Possible),463080,1211080,SHETLAND ISLANDS,SHETLAND,UNST,HP 6308 1108
169,HP61SW 20,"Unst, Soterberg, Harold's Wick","Field System (Period Unassigned), House (Norse), Mound (Period Unassigned), Settlement (Period Unassigned), Unidentified Pottery (Iron Age)",464110,1211460,SHETLAND ISLANDS,SHETLAND,UNST,HP 6411 1146
178,HP61SW 29,"Unst, Bothen",Weight(S),463600,1212700,SHETLAND ISLANDS,SHETLAND,UNST,HP 636 127
185,HP61SW 35,"Unst, Brook Point","Corn Drying Kiln (Period Unassigned), Farmstead (Period Unassigned)",463530,1211900,SHETLAND ISLANDS,SHETLAND,UNST,HP 6353 1190
186,HP61SW 4,"Unst, Norwick, Bartles Kirk",Stone Setting (Neol/bronze Age),464880,1214630,SHETLAND ISLANDS,SHETLAND,UNST,HP 6488 1463
1375,HU59NE 5,"Unst, Head Of Mula",House (Norse),456820,1199650,SHETLAND ISLANDS,SHETLAND,UNST,HU 5682 9965
88166,HP50SE 45,"Unst, Burga Sand, Underhoull, Boat-noost",Naust (Period Unassigned),457250,1204240,SHETLAND ISLANDS,SHETLAND,UNST,HP 5725 0424
108170,HP50NE 14,"Unst, Scarpa","Midden (Iron Age), Roundhouse (Iron Age)",458100,1207400,SHETLAND ISLANDS,SHETLAND,UNST,HP 58100 07400
128770,HP50SE 49,"Unst, Snabrough, Southerhouse","Croft (Period Unassigned), Farmstead (Period Unassigned)",456740,1202800,SHETLAND ISLANDS,SHETLAND,UNST,HP 5674 0280
128772,HP50SE 51,"Unst, Snarravoe","Farmstead (Period Unassigned), Field System (Period Unassigned), Township (Period Unassigned)",457000,1201900,SHETLAND ISLANDS,SHETLAND,UNST,HP 570 019
128775,HP60NW 25,"Unst, Baltasound, Unst Airport",Airfield (20th Century),462250,1207780,SHETLAND ISLANDS,SHETLAND,UNST,HP 6225 0778
129794,HP50NE 17,"Unst, Watlee","Enclosure (Period Unassigned), House (Period Unassigned)",459609,1205214,SHETLAND ISLANDS,SHETLAND,UNST,HP 59609 05214
142309,HP50SE 53,"Unst, Loch Of Belmont",Cairn (Period Unassigned),455840,1200550,SHETLAND ISLANDS,SHETLAND,UNST,HP 5584 0055
142310,HP50SE 54,"Unst, Loch Of Belmont",Mill (Period Unassigned),456140,1200640,SHETLAND ISLANDS,SHETLAND,UNST,HP 5614 0064
163849,HP60NW 280,"Unst, Hillsgarth, Old Manse Of Unst",Manse (19th Century),460974,1209249,SHETLAND ISLANDS,SHETLAND,UNST,HP 60974 09249
188661,HP60SW 45,"Unst, Smirgarth","Farmstead (Period Unassigned), Structure (Period Unassigned)",461973,1203210,SHETLAND ISLANDS,SHETLAND,UNST,HP 61973 03210
188662,HP60SW 46,"Unst, North-house",Farmstead (Period Unassigned),461654,1203052,SHETLAND ISLANDS,SHETLAND,UNST,HP 61654 03052
188663,HP60SW 47,"Unst, Soerhouse",Farmstead (Period Unassigned),461589,1202940,SHETLAND ISLANDS,SHETLAND,UNST,HP 61589 02940
188664,HP60SW 48,"Unst, Puddle",Farmstead (Period Unassigned),461688,1202888,SHETLAND ISLANDS,SHETLAND,UNST,HP 61688 02888
188665,HP60SW 49,"Unst, Lee",Farmstead (Period Unassigned),461714,1202830,SHETLAND ISLANDS,SHETLAND,UNST,HP 61714 02830
188683,HP50SE 60,"Unst, Vigga",Farmstead (Period Unassigned),456511,1204192,SHETLAND ISLANDS,SHETLAND,UNST,HP 56511 04192
188686,HP50SE 63,"Unst, Snabrough, Northerhouse","Croft (Period Unassigned), Farmstead (Period Unassigned)",456980,1202880,SHETLAND ISLANDS,SHETLAND,UNST,HP 5698 0288
188691,HP50SE 68,"Unst, Vinstrick",Farmstead (Period Unassigned),457330,1203940,SHETLAND ISLANDS,SHETLAND,UNST,HP 5733 0394
188697,HP50SE 74,"Unst, Broomhill",Farmstead (Period Unassigned),458420,1201200,SHETLAND ISLANDS,SHETLAND,UNST,HP 5842 0120
188700,HP50SE 77,"Unst, Winbat","Farmstead (Period Unassigned), Farmstead (Norse), Head Dyke (Post Medieval)",458230,1200750,SHETLAND ISLANDS,SHETLAND,UNST,HP 5823 0075
188710,HP50SE 87,"Unst, Loch Of Belmont",Building (Period Unassigned),456110,1200640,SHETLAND ISLANDS,SHETLAND,UNST,HP 5611 0064
188711,HP50SE 88,"Unst, Gallow Hill","Farmstead (Period Unassigned), Structure(S) (Period Unassigned)",457780,1200200,SHETLAND ISLANDS,SHETLAND,UNST,HP 5778 0020
188712,HP50SE 89,"Unst, Gallow Hill",Farmstead (Period Unassigned),457560,1200020,SHETLAND ISLANDS,SHETLAND,UNST,HP 5756 0002
188713,HP61SW 68,"Unst, Northsetter","Enclosure (Period Unassigned), Farmstead(S) (Period Unassigned), Head Dyke (Post Medieval), Structure (Period Unassigned)",460490,1212470,SHETLAND ISLANDS,SHETLAND,UNST,HP 6049 1247
188715,HP61NW 7,"Unst, Setter-house","Building (Period Unassigned), Sheepfold (Period Unassigned)",460190,1216650,SHETLAND ISLANDS,SHETLAND,UNST,HP 6019 1665
188722,HP61SW 45,"Unst, Stoutsquey","Building (Period Unassigned), Enclosure (Period Unassigned), Farmstead (Norse)(Possible)",463340,1211760,SHETLAND ISLANDS,SHETLAND,UNST,HP 6334 1176
188723,HP61SW 46,"Unst, Stoutsquey","Croft (Period Unassigned), Farmstead (Period Unassigned)",463142,1211736,SHETLAND ISLANDS,SHETLAND,UNST,HP 63142 11736
188749,HP51SE 6,"Unst, Loch Of Cliff","Farmstead (Period Unassigned), Structure(S) (Period Unassigned)",459693,1211451,SHETLAND ISLANDS,SHETLAND,UNST,HP 59693 11451
188750,HP51SE 7,"Unst, Lee Of Petester",Farmstead (Period Unassigned),459690,1211770,SHETLAND ISLANDS,SHETLAND,UNST,HP 5969 1177
188752,HP51SE 9,"Unst, Petester","Croft (Period Unassigned), Farmstead (Period Unassigned)",459570,1212180,SHETLAND ISLANDS,SHETLAND,UNST,HP 5957 1218
188753,HP51SE 10,"Unst, Petester","Croft (Period Unassigned), Farmstead (Period Unassigned)",459350,1212350,SHETLAND ISLANDS,SHETLAND,UNST,HP 5935 1235
188754,HP51SE 11,"Unst, Woodwick","Farmstead (Period Unassigned), Head Dyke (Post Medieval), Sheepfold (Period Unassigned), Structure(S) (Period Unassigned)",458312,1211650,SHETLAND ISLANDS,SHETLAND,UNST,HP 58312 11650
188755,HP51SE 12,"Unst, Woodwick, Mid Field",Building(S) (Period Unassigned),458279,1211352,SHETLAND ISLANDS,SHETLAND,UNST,HP 58279 11352
188809,HP50NE 29,"Unst, Loch Of Quoy","Farmstead (Period Unassigned), Structure(S) (Period Unassigned)",457300,1206550,SHETLAND ISLANDS,SHETLAND,UNST,HP 5730 0655
188816,HP50NE 36,"Unst, Collaster",Farmstead (Period Unassigned),457934,1207457,SHETLAND ISLANDS,SHETLAND,UNST,HP 57934 07457
188847,HP60NW 48,"Unst, Green Pund","Enclosure(S) (Period Unassigned), Farmstead (Norse)(Possible), Structure(S) (Period Unassigned)",462820,1207170,SHETLAND ISLANDS,SHETLAND,UNST,HP 6282 0717
188856,HP60NW 57,"Unst, Ordale","Building (Period Unassigned), Enclosure (Period Unassigned), Farmstead (Norse)",463680,1207930,SHETLAND ISLANDS,SHETLAND,UNST,HP 6368 0793
